replyID,replyDate,typeNameD,title,reply_object,longitude,latitude
16308939,2022-10-17 22:54:00, 投诉/求助 ,大连华润燃气迟迟不予通气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
16293132,2022-10-16 03:39:00, 投诉/求助 ,天然气安装近二十天停煤气无法做饭,辽宁省大连市委书记胡玉亭,121.614848,38.914086
16243349,2022-10-10 21:22:00, 建言 ,居民楼停气1个多月，无人管无人解决,辽宁省委书记郝鹏,123.420368,41.789833
16200776,2022-10-05 03:07:00, 投诉/求助 ,茂泉小区90号楼燃气何时恢复,辽宁省沈阳市委书记王新伟,123.465035,41.677284
16191519,2022-10-03 11:01:00, 建言 ,华润燃气投诉没用，一直不给挂表通气,辽宁省大连市中山区委书记,121.644926,38.918574
16188973,2022-10-03 03:56:00, 投诉/求助 ,十一国庆假期停供天然气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
16168090,2022-09-30 01:54:00, 建言 ,投诉华润燃气公司私自停天然气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
16122402,2022-09-25 09:31:00, 投诉/求助 ,燃气公司迟迟不给通气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
16119509,2022-09-25 03:10:00, 投诉/求助 ,请华润燃气正常供气,辽宁省大连市西岗区委书记,121.612324,38.914687
16117607,2022-09-24 22:57:00, 投诉/求助 ,西岗区九邦大厦多日无天然气，居民无法做饭,辽宁省大连市委书记胡玉亭,121.614848,38.914086
16097238,2022-09-22 22:21:00, 建言 ,沙河口民权小区303号楼燃气问题,辽宁省大连市委书记胡玉亭,121.614848,38.914086
16089267,2022-09-22 01:59:00, 投诉/求助 ,开发式厨房安装临时门就给开栓,辽宁省沈阳市市长吕志成,123.465035,41.677284
16089037,2022-09-22 01:32:00, 投诉/求助 ,华润燃气停气二个月不给恢复通气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15987554,2022-09-12 03:22:00, 投诉/求助 ,菜市小区13号楼居民燃气已停用10天,辽宁省丹东市元宝区委书记,124.395661,40.136434
15926097,2022-09-05 11:21:00, 投诉/求助 ,天然气供气的问题反映,辽宁省省长李乐成,121.644926,38.918574
15843285,2022-08-27 11:43:00, 建言 ,华润燃气无人上门换表通气,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15812082,2022-08-24 04:06:00, 建言 ,华润以天然气置换为由停百姓日常用火一个月,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15791328,2022-08-22 02:16:00, 投诉/求助 ,燃气停供快20天了,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15763627,2022-08-18 21:08:00, 建言 ,沈阳沈河区东陵路10号巷马路中间大量汽车长期,辽宁省沈阳市市长吕志成,123.465035,41.677284
15757494,2022-08-18 03:04:00, 投诉/求助 ,宏爱巷燃气停供半个月无人维修,辽宁省大连市中山区委书记,121.644926,38.918574
15756820,2022-08-18 01:56:00, 投诉/求助 ,华润燃气管理混乱，且无视居民的财产安全,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15747987,2022-08-17 03:42:00, 投诉/求助 ,华润燃气出尔反尔，太霸道太无理,辽宁省大连市市长陈绍旺,121.614848,38.914086
15671460,2022-08-08 11:02:00, 建言 ,大连市华润集团违法给306户居民断气 ,辽宁省省长李乐成,121.644926,38.918574
15668369,2022-08-08 04:41:00, 投诉/求助 ,华润燃气8月3日至8月10日停气的事,辽宁省大连市市长陈绍旺,121.614848,38.914086
15644633,2022-08-05 01:09:00, 投诉/求助 ,大连华润燃气的停气,辽宁省委书记郝鹏,121.644926,38.918574
15631889,2022-08-03 14:14:00, 建言 ,大连华润燃气公司不作为,辽宁省大连市委书记胡玉亭,121.614848,38.914086
15589729,2022-07-30 00:31:00, 投诉/求助 ,水岸华城物业收钱不作为,辽宁省朝阳市委书记张淑萍,120.450879,41.573762
