zipcode,lat,lng
220000,,
220000,,
220100,,
220100,,
220100,,
220106,7.404982,4.469676499999999
220000,,
220500,,
220500,,
220503,,
220700,,
220200,,
222401,,
220105,7.0501659,4.4593791
220000,,
220282,,
220000,,
220523,,
220503,,
220523,,
220102,7.254384699999998,4.4490836
220183,,
220104,7.5678577,4.3770704
220000,,
220200,,
220100,,
230000,,
230000,,
230400,,
230000,,
230103,7.8153124,4.5315029
231282,31.9455699,117.04423
230100,,
230000,,
230000,,
230100,,
230000,,
230102,7.902579799999999,4.4902774
230000,,
230522,,
231100,32.49198990000001,117.1197099
230100,,
230000,,
230000,,
230000,,
230102,7.902579799999999,4.4902774
230000,,
231102,8.0258146,4.6502012
230000,,
230400,,
230100,,
230000,,
230400,,
230110,,
230800,37.1888701,128.5060147
